LocationID,Count,ProgID,SurveyDescription,Easting,Northing,Location,Borough,Functional cycling area,Latitude,Longitude,office_government_count,office_association_count,office_company_count,office_consulting_count,office_financial_count,office_coworking_count,office_lawyer_count,office_estate_agent_count,office_insurance_count,office_telecommunication_count,amenity_restaurant_count,amenity_cafe_count,amenity_bar_count,amenity_pub_count,amenity_fast_food_count,amenity_bicycle_parking_count,railway_subway_entrance_count,public_transport_platform_count,amenity_bus_station_count,amenity_taxi_count,amenity_parking_count,amenity_ferry_terminal_count,highway_bus_stop_count,amenity_parking_space_count,railway_tram_stop_count,shop_convenience_count,shop_supermarket_count,shop_mall_count,shop_department_store_count,shop_bakery_count,shop_butcher_count,shop_clothes_count,shop_hardware_count,shop_furniture_count,shop_electronics_count,leisure_park_count,leisure_sports_centre_count,leisure_playground_count,leisure_stadium_count,leisure_swimming_pool_count,leisure_pitch_count,leisure_track_count,leisure_fitness_centre_count,leisure_garden_count,leisure_nature_reserve_count,building_residential_count,building_house_count,building_detached_count,building_apartments_count,building_bungalow_count
CSHCY058,160,CSHCY,Cycle Superhighway cycle surveys,536753,177471,Amersham Vale,Lewisham,Inner,51.47967266,-0.032095969,0,0,3,0,0,0,1,4,0,0,17,29,9,12,14,124,0,93,0,1,5,0,58,0,0,15,1,0,0,1,3,2,0,0,0,0,1,1,0,0,3,0,5,0,0,0,1,0,0,0
CSHCY059,741,CSHCY,Cycle Superhighway cycle surveys,537004,177244,Margaret Macmillan Park,Lewisham,Inner,51.47757211,-0.028571736,0,0,3,0,0,0,1,4,0,0,24,34,10,13,16,137,0,99,0,1,5,0,61,7,0,19,1,0,0,1,3,2,0,1,0,0,1,2,0,0,3,0,7,0,0,0,1,0,0,0
CSHCY060,155,CSHCY,Cycle Superhighway cycle surveys,537250,176552,Albyn Road,Lewisham,Inner,51.47129412,-0.025300238,0,0,0,0,0,0,0,1,0,0,23,29,8,17,15,134,0,102,0,0,4,0,75,14,0,13,2,0,0,0,3,3,0,1,0,0,1,1,0,0,2,0,8,0,0,0,1,0,0,0
CSHCY061,1274,CSHCY,Cycle Superhighway cycle surveys,537837,176015,Thurston Road,Lewisham,Inner,51.46632601,-0.017063429,0,0,0,0,0,0,2,3,0,0,15,13,1,7,18,96,0,119,0,2,0,0,86,14,0,11,3,0,0,1,1,3,2,1,1,0,0,2,0,0,0,0,5,0,0,0,0,0,0,0
CSHCY062,1169,CSHCY,Cycle Superhighway cycle surveys,528504,179074,Eccleston Street,Westminster,Inner,51.49601089,-0.150233111,6,0,14,0,0,1,0,21,0,0,93,63,12,15,37,252,19,204,3,2,14,0,116,0,0,20,1,0,3,6,1,104,0,2,0,0,1,0,0,0,1,0,6,0,0,0,0,0,0,0
CSHCY063,2647,CSHCY,Cycle Superhighway cycle surveys,527095,170910,High Street Colliers Wood,Merton,Inner,51.42295968,-0.173450686,0,0,0,1,0,0,6,8,2,0,78,23,9,10,16,92,3,74,0,0,3,0,56,0,0,30,3,0,3,3,4,13,2,0,2,0,1,0,0,0,2,0,6,1,1,0,0,0,0,0
CSHCY064,2445,CSHCY,Cycle Superhighway cycle surveys,527802,172131,Upper Tooting Road,Wandsworth,Inner,51.43377392,-0.162847813,0,0,1,0,0,0,7,11,0,0,83,26,9,5,19,87,6,64,0,1,0,0,52,0,0,21,5,0,2,6,5,15,3,0,1,0,1,0,0,0,0,0,3,0,0,0,0,0,1,0
CSHCY065,3714,CSHCY,Cycle Superhighway cycle surveys,528353,172998,Balham High Road (south),Wandsworth,Inner,51.44144112,-0.15461161,0,0,1,0,0,0,6,12,0,0,49,19,6,7,13,92,9,40,0,0,0,0,40,0,0,13,3,0,1,4,0,0,2,1,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0
CSHCY066,4403,CSHCY,Cycle Superhighway cycle surveys,528789,173892,Balham Hill,Wandsworth,Inner,51.44937649,-0.148016812,0,0,0,0,0,0,1,9,0,0,35,19,6,8,16,93,8,47,0,1,0,0,47,0,0,9,4,0,1,1,1,0,0,1,0,0,3,0,0,0,0,0,1,0,0,0,1,0,0,0
CSHCY067,2993,CSHCY,Cycle Superhighway cycle surveys,529150,174890,Clapham Common (south side),Lambeth,Inner,51.45826318,-0.142460641,0,0,0,0,0,0,2,10,0,0,53,29,10,18,28,162,6,69,0,1,0,0,61,0,0,16,2,0,0,0,2,2,0,1,0,0,3,0,0,1,1,0,2,0,0,0,1,0,0,0
CSHCY068,3792,CSHCY,Cycle Superhighway cycle surveys,529951,175624,Clapham High Street,Lambeth,Inner,51.46467631,-0.13066845,0,1,0,0,0,0,4,14,0,0,50,42,15,27,37,293,4,85,0,2,2,0,62,0,0,31,2,0,0,1,1,5,3,1,0,0,2,0,0,1,3,0,3,0,0,0,0,0,0,0
CSHCY069,7476,CSHCY,Cycle Superhighway cycle surveys,530224,176111,Clapham Road Stockwell,Lambeth,Inner,51.46899014,-0.126561457,0,1,1,0,0,0,5,7,0,0,32,35,13,19,37,257,2,105,0,2,2,0,66,0,0,34,2,0,0,2,2,4,4,0,2,1,1,0,0,1,3,0,4,0,0,0,0,0,0,0
